area_id,median_annual_household_income,avg_monthly_rent
124031464,47708,1376
124031465,50100,1526
124041466,46052,1518
124041467,49265,1495
124041468,46692,1660
124051469,51802,1828
124051470,51261,1755
124051580,46724,1526
124051581,45361,1401
125011473,56312,2302
125011475,,
125011582,30683,1860
125011583,30931,1638
125011584,35500,1665
125011585,36622,1608
125011586,37656,1991
125011587,39931,1506
125021476,44262,2157
125021477,47634,1560
125021478,45233,1539
125031479,40574,1437
125031480,38240,1238
125031481,38842,1617
125031482,50280,1880
125031483,37265,1416
125031484,42581,1587
125031485,43083,1662
125031486,57326,
125031487,35000,
125041489,50053,1770
125041490,49540,2322
125041491,53421,1854
125041492,45022,1812
125041493,48768,1697
125041494,53011,2092
125041588,47891,1605
125041589,47543,1652
126011495,48326,2301
126011496,54941,2248
126021497,43900,2018
126021498,58409,1955
126021499,69385,2175
126021500,49507,2029
126021501,50953,2105
126021503,50035,1913
126021590,55111,2760
126021591,49745,2055
127011504,39804,1078
127011505,43499,1658
127011506,52101,2130
127011592,46021,553
127011593,49992,2185
127011594,44997,1709
127011595,47263,1969
127011596,50130,2010
127011597,52146,2129
127021509,43245,1447
127021510,46473,1791
127021511,36969,1354
127021512,41018,1376
127021513,39741,1405
127021514,44267,1681
127021515,39685,1478
127021516,39701,1679
127021517,45071,1640
127021518,48258,1684
127021519,43457,1535
127021520,43397,1727
127021521,46348,
127031522,47580,1703
127031523,50891,1913
127031524,57000,1805
127031598,42303,1495
127031599,40864,1217
127031600,51121,2044
127031601,43106,1275
128011529,52871,2113
128011530,50319,1879
128011531,47383,2059
128011602,52754,1814
128011603,52088,2606
128011604,55083,2027
128011605,57429,3086
128011606,56652,2200
128021533,49791,1785
128021534,51600,2608
128021535,54420,2183
128021536,55391,1947
128021537,,1899
128021538,53378,1809
128021607,52667,1955
128021608,51243,2163
128021609,54935,2300
