area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
122031425,940,40,16,24,20,7
122031426,2413,123,101,172,57,43
122031427,1178,64,40,67,23,18
122031428,2959,129,72,118,63,32
122031429,4069,270,108,152,96,69
122031430,1517,70,42,87,44,20
122031431,2401,117,71,102,44,39
122031432,591,32,31,23,9,8
123011433,1270,71,53,97,19,14
123011434,1719,90,54,78,28,27
123011435,1838,93,45,65,20,27
123021436,625,31,13,32,13,12
123021437,1744,178,99,216,27,20
123021438,792,34,12,27,13,7
123021439,,,,,,
123021440,1965,111,46,79,15,13
123021441,683,36,20,32,16,11
123021442,1049,56,37,50,16,8
123021443,1345,92,37,47,16,9
123021444,863,44,27,45,8,11
123031445,449,24,8,11,3,6
123031446,885,41,14,27,12,22
123031447,1330,63,42,49,21,13
123031448,1015,44,17,21,8,21
124011449,446,50,46,28,7,13
124011450,1362,77,45,112,34,16
124011451,3,,,,,
124011452,1160,94,119,80,27,41
124011453,623,36,16,40,15,20
124011454,1429,92,53,93,33,38
124011455,426,34,28,42,10,5
124021456,,,,,,
124031457,587,37,21,17,10,4
124031458,1410,50,31,28,19,17
124031459,1018,48,18,44,18,11
124031460,1143,40,30,65,20,17
124031461,1188,75,30,37,19,23
124031462,960,54,32,83,14,9
124031463,1156,41,16,41,14,10
124031464,1936,165,95,192,35,26
124031465,521,24,11,9,3,5
124041466,1134,93,57,65,17,30
124041467,1253,66,59,66,13,18
124041468,814,30,14,10,12,15
124051469,402,18,15,16,4,3
124051470,951,50,21,43,10,7
124051580,420,24,11,11,6,3
124051581,1397,102,42,52,7,11
125011473,2807,173,136,135,39,29
125011475,3,,,,,
125011582,1745,106,70,109,21,6
125011583,1317,121,64,29,19,3
125011584,902,51,31,38,5,3
125011585,679,31,18,33,7,
125011586,2325,165,123,138,19,15
125011587,569,47,12,26,11,3
125021476,2604,130,93,231,46,21
125021477,2105,157,95,74,23,20
125021478,1544,101,56,90,33,15
125031479,1504,115,52,75,9,5
125031480,1201,93,26,27,6,5
125031481,2159,153,84,73,18,12
125031482,1890,120,65,70,26,16
125031483,1790,117,59,117,15,10
125031484,1523,89,42,42,17,12
125031485,2601,161,98,134,14,19
125031486,684,28,6,,4,
125031487,190,5,,3,,
125041489,2422,148,78,165,37,18
125041490,848,67,23,63,22,9
125041491,1671,97,69,299,13,12
125041492,5067,322,294,222,67,39
125041493,1466,89,29,84,18,11
125041494,810,31,29,51,17,15
125041588,1203,101,39,41,17,5
125041589,1282,112,86,136,17,13
126011495,2598,136,89,249,69,24
126011496,2050,74,68,261,35,25
126021497,2624,184,153,277,49,17
126021498,2114,102,76,156,36,32
126021499,1421,48,71,136,22,17
126021500,2077,120,103,94,32,15
126021501,1285,65,45,109,25,15
126021503,1873,133,78,124,27,13
126021590,554,29,17,51,4,10
126021591,2301,146,113,134,37,28
127011504,508,25,24,37,4,
127011505,1414,54,25,34,5,11
127011506,1555,63,23,35,16,22
127011592,12,,,,,
127011593,586,30,21,31,3,3
127011594,722,57,28,46,7,4
127011595,672,25,22,25,,5
127011596,633,27,26,35,5,3
127011597,1021,55,19,44,9,7
127021509,852,66,31,40,3,3
127021510,1364,64,35,66,26,11
127021511,1872,262,118,153,15,8
127021512,926,62,41,54,8,4
127021513,1045,88,62,63,14,9
127021514,721,41,34,28,3,7
127021515,1364,142,64,111,12,5
127021516,959,63,40,73,14,3
127021517,493,28,27,21,5,
127021518,963,49,21,17,8,5
127021519,1393,89,44,54,16,12
127021520,624,40,26,24,3,3
127021521,1693,97,20,6,8,12
127031522,1092,85,31,65,10,16
127031523,2431,170,70,75,19,16
127031524,1148,57,45,69,22,9
127031598,2589,206,107,266,29,9
127031599,462,36,5,17,13,3
127031600,1668,106,48,68,21,14
127031601,330,29,3,9,,22
128011529,1421,60,41,73,24,26
128011530,2217,154,78,209,26,25
128011531,2301,145,96,90,17,30
128011602,2052,136,82,91,22,19
128011603,1157,56,23,67,19,11
128011604,2485,119,130,109,42,42
128011605,442,9,14,22,5,4
128011606,924,45,23,56,17,15
128021533,377,23,8,12,13,3
128021534,1138,51,26,76,12,10
128021535,1595,77,46,92,39,21
128021536,1591,90,49,84,24,24
128021537,3,,3,,,
128021538,2086,107,79,134,36,27
128021607,1121,75,38,76,28,11
128021608,417,17,6,17,7,7
128021609,259,10,5,10,,7
