area_id,median_annual_household_income,avg_monthly_rent
123021444,47557.0,1414.0
123031445,47811.0,1625.0
123031446,53629.0,1673.0
123031447,49070.0,1507.0
123031448,48925.0,1449.0
124011449,39202.0,1352.0
124011450,52702.0,1741.0
124011451,0.0,0.0
124011452,37965.0,1349.0
124011453,46669.0,1433.0
124011454,49953.0,1596.0
124011455,42963.0,1547.0
124021456,0.0,0.0
124031457,49719.0,1578.0
124031458,53043.0,1771.0
124031459,53366.0,1664.0
124031460,56033.0,1885.0
124031461,50659.0,1574.0
124031462,48669.0,1404.0
124031463,55083.0,1921.0
124031464,47708.0,1376.0
124031465,50100.0,1526.0
124041466,46052.0,1518.0
124041467,49265.0,1495.0
124041468,46692.0,1660.0
124051469,51802.0,1828.0
124051470,51261.0,1755.0
124051580,46724.0,1526.0
124051581,45361.0,1401.0
125011473,56312.0,2302.0
125011475,0.0,0.0
125011582,30683.0,1860.0
125011583,30931.0,1638.0
125011584,35500.0,1665.0
125011585,36622.0,1608.0
125011586,37656.0,1991.0
125011587,39931.0,1506.0
125021476,44262.0,2157.0
125021477,47634.0,1560.0
125021478,45233.0,1539.0
125031479,40574.0,1437.0
125031480,38240.0,1238.0
125031481,38842.0,1617.0
125031482,50280.0,1880.0
125031483,37265.0,1416.0
125031484,42581.0,1587.0
125031485,43083.0,1662.0
125031486,57326.0,0.0
125031487,35000.0,0.0
125041489,50053.0,1770.0
125041490,49540.0,2322.0
125041491,53421.0,1854.0
125041492,45022.0,1812.0
125041493,48768.0,1697.0
125041494,53011.0,2092.0
125041588,47891.0,1605.0
125041589,47543.0,1652.0
126011495,48326.0,2301.0
126011496,54941.0,2248.0
126021497,43900.0,2018.0
126021498,58409.0,1955.0
126021499,69385.0,2175.0
126021500,49507.0,2029.0
126021501,50953.0,2105.0
126021503,50035.0,1913.0
126021590,55111.0,2760.0
126021591,49745.0,2055.0
127011504,39804.0,1078.0
127011505,43499.0,1658.0
127011506,52101.0,2130.0
127011592,46021.0,553.0
127011593,49992.0,2185.0
127011594,44997.0,1709.0
127011595,47263.0,1969.0
127011596,50130.0,2010.0
127011597,52146.0,2129.0
127021509,43245.0,1447.0
127021510,46473.0,1791.0
127021511,36969.0,1354.0
127021512,41018.0,1376.0
127021513,39741.0,1405.0
127021514,44267.0,1681.0
127021515,39685.0,1478.0
127021516,39701.0,1679.0
127021517,45071.0,1640.0
127021518,48258.0,1684.0
127021519,43457.0,1535.0
127021520,43397.0,1727.0
127021521,46348.0,0.0
127031522,47580.0,1703.0
127031523,50891.0,1913.0
127031524,57000.0,1805.0
127031598,42303.0,1495.0
127031599,40864.0,1217.0
127031600,51121.0,2044.0
127031601,43106.0,1275.0
128011529,52871.0,2113.0
128011530,50319.0,1879.0
128011531,47383.0,2059.0
128011602,52754.0,1814.0
128011603,52088.0,2606.0
128011604,55083.0,2027.0
128011605,57429.0,3086.0
128011606,56652.0,2200.0
128021533,49791.0,1785.0
128021534,51600.0,2608.0
128021535,54420.0,2183.0
128021536,55391.0,1947.0
128021537,0.0,1899.0
128021538,53378.0,1809.0
128021607,52667.0,1955.0
128021608,51243.0,2163.0
128021609,54935.0,2300.0
